Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-10-05	2024-08	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	US	0	0.01931943
2024-10-23	2024-08	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	CA	0	0.02698845
2024-10-23	2024-08	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	5	100	Song	CA	0	0.03373556
2024-10-24	2024-08	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	US	0	0.01446698
2024-10-24	2024-08	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	99	100	Song	US	0	0.46942739
2024-10-30	2024-09	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	69	100	Song	US	0	0.47666495
2024-10-30	2024-09	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	HU	0	0.00190404
2024-10-30	2024-09	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	5	100	Song	PR	0	0.00353231
2024-10-30	2024-09	YouTube (Ads)	ZONE A0	LUNA	QZTB92494812	198891507125	8	100	Song	US	0	0.01044725
2024-10-30	2024-09	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	PR	0	0.00789505
2024-10-30	2024-09	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	24	100	Song	US	0	0.05328726
2024-10-30	2024-09	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	DK	0	0.00110881
2024-10-30	2024-09	YouTube (Ads)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	21	100	Song	US	0	0.03507417
2024-10-31	2024-09	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	3	100	Song	RO	0	0.01170155
2024-10-31	2024-09	YouTube (Red)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	43	100	Song	US	0	0.61075351
2024-10-31	2024-09	YouTube (Red)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	86	100	Song	US	0	0.90513649
2024-10-31	2024-09	YouTube (Red)	ZONE A0	LUNA	QZTB92494812	198891507125	3	100	Song	US	0	0.01613851
2024-10-31	2024-09	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	5	100	Song	US	0	0.02933575
2024-11-18	2024-08	Pandora	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	US	0	0.00350000
2024-11-19	2024-08	TikTok	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	5	100	Song	US	0	0.00647199
